# Run L1L1 L1L2 L2L1 L2L2 Other
14200 5.197376e-01 2.069435e-01 1.223831e-01 4.029006e-02 1.106458e-01
14207 5.331545e-01 2.120426e-01 1.117873e-01 3.739653e-02 1.056190e-01
14217 5.201954e-01 2.019035e-01 1.235212e-01 3.975336e-02 1.146266e-01
14231 5.247754e-01 2.077564e-01 1.225102e-01 4.067661e-02 1.042814e-01
14268 5.371349e-01 1.987661e-01 1.266587e-01 4.023316e-02 9.720718e-02
14287 5.084150e-01 2.114386e-01 1.261355e-01 4.458065e-02 1.094302e-01
14294 5.129981e-01 2.097106e-01 1.223331e-01 4.520792e-02 1.097502e-01
14305 4.982884e-01 2.176523e-01 1.282719e-01 4.809969e-02 1.076876e-01
14318 4.676982e-01 2.208882e-01 1.332419e-01 5.674974e-02 1.214219e-01
14326 4.817788e-01 2.165050e-01 1.279934e-01 5.167015e-02 1.220527e-01
14332 4.720157e-01 2.225467e-01 1.304341e-01 5.497045e-02 1.200330e-01
14345 4.517980e-01 2.358297e-01 1.337878e-01 6.186429e-02 1.167202e-01
14350 4.359550e-01 2.384130e-01 1.377342e-01 6.723297e-02 1.206649e-01
14358 4.873735e-01 2.204625e-01 1.236741e-01 5.490088e-02 1.135890e-01
14369 4.960957e-01 2.139879e-01 1.256862e-01 4.991900e-02 1.143112e-01
14394 4.865217e-01 2.171659e-01 1.274165e-01 5.339869e-02 1.154972e-01
14408 4.627013e-01 2.250345e-01 1.320353e-01 5.951369e-02 1.207153e-01
14416 4.770743e-01 2.127661e-01 1.362906e-01 5.493469e-02 1.189344e-01
14423 4.793482e-01 2.193620e-01 1.252388e-01 5.692568e-02 1.191253e-01
14430 4.729497e-01 2.219688e-01 1.307505e-01 5.776879e-02 1.165623e-01
14441 4.096524e-01 2.300297e-01 1.326251e-01 7.110842e-02 1.565844e-01
14454 4.461646e-01 2.326803e-01 1.385371e-01 6.545759e-02 1.171604e-01
14460 4.760159e-01 2.221549e-01 1.335772e-01 5.677742e-02 1.114746e-01
14475 4.688714e-01 2.224344e-01 1.329367e-01 5.812924e-02 1.176283e-01
14485 4.030906e-01 2.393050e-01 1.600605e-01 7.746930e-02 1.200745e-01
14493 4.447508e-01 2.299745e-01 1.349224e-01 6.489522e-02 1.254571e-01
14504 4.323225e-01 2.318908e-01 1.387759e-01 6.856916e-02 1.284416e-01
14512 4.198642e-01 2.353369e-01 1.396626e-01 7.144675e-02 1.336895e-01
14520 3.925353e-01 2.426155e-01 1.459780e-01 8.290311e-02 1.359681e-01
14536 4.004407e-01 2.405982e-01 1.471163e-01 8.091062e-02 1.309342e-01
14541 4.139309e-01 2.369379e-01 1.422756e-01 7.556801e-02 1.312876e-01
14546 3.807497e-01 2.442452e-01 1.467047e-01 8.489012e-02 1.434103e-01
14552 3.704294e-01 2.478106e-01 1.490286e-01 9.031829e-02 1.424131e-01
14567 4.697880e-01 2.144025e-01 1.282065e-01 5.382578e-02 1.337772e-01
14572 4.502278e-01 2.215763e-01 1.324558e-01 5.904217e-02 1.366980e-01
14594 4.666476e-01 2.105984e-01 1.267471e-01 5.137385e-02 1.446331e-01
14604 4.453491e-01 2.181801e-01 1.308311e-01 5.789444e-02 1.477452e-01
14621 4.119686e-01 2.309294e-01 1.379217e-01 6.939807e-02 1.497822e-01
14691 4.418801e-01 2.083901e-01 1.285254e-01 5.400909e-02 1.671953e-01
14699 4.343977e-01 2.131638e-01 1.282467e-01 5.671569e-02 1.674761e-01
14707 4.267482e-01 2.196814e-01 1.309560e-01 6.102671e-02 1.615877e-01
14713 4.140641e-01 2.208378e-01 1.325441e-01 6.276789e-02 1.697861e-01
14719 4.029002e-01 2.245975e-01 1.350665e-01 6.902507e-02 1.684107e-01
14727 3.963954e-01 2.227807e-01 1.352966e-01 6.600279e-02 1.795246e-01
14739 3.933695e-01 2.259058e-01 1.354456e-01 6.887104e-02 1.764081e-01
14746 3.866297e-01 2.184471e-01 1.326378e-01 6.732830e-02 1.949571e-01
14751 3.912768e-01 2.190277e-01 1.331912e-01 6.655079e-02 1.899535e-01
14772 4.139415e-01 1.922285e-01 1.156854e-01 5.146031e-02 2.266843e-01
